PMT Flow — Detailed UAT Test Scenarios & Test Cases,,,,,,,,
ครอบคลุมการทดสอบครบ 11 Scenarios ตั้งแต่เริ่มล็อกอิน จนถึงส่งมอบงานและดูแลหลังการขาย,,,,,,,,
Scenario / Module,Case ID,Role,ขั้นตอนการทดสอบ (Test Steps),ข้อมูลที่ใช้ทดสอบ (Test Data),ผลลัพธ์ที่คาดหวัง (Expected Results),ผลการทดสอบ (Status),ผู้ทดสอบ (Tester),หมายเหตุ / ข้อผิดพลาด (Notes / Defects)
Scenario 03: Step 1 คิวรับคำสั่งซื้อ,TC-ORD-02,AE / ADMIN,"1. คลิก '+ สร้างคำสั่งซื้อใหม่'
2. กรอกข้อมูลลูกค้า, เบอร์โทร, ประเภทบริการ, ที่อยู่
3. กดบันทึก","ลูกค้า: คุณทดสอบ สว่างจิต
โทร: 089-111-2233
บริการ: ติดตั้งแอร์ 24,000 BTU",บันทึกสำเร็จ สร้างรหัส JOB ใหม่ สถานะตั้งต้นเป็น DRAFT (0%),Pass,,
Scenario 03: Step 1 คิวรับคำสั่งซื้อ,TC-ORD-03,AE / ADMIN,"1. เลือก Order ที่มีสถานะ DRAFT
2. คลิกปุ่ม 'รับงานเข้า PMT'",Order ที่เพิ่งสร้าง,สถานะเปลี่ยนเป็นรับงาน บันทึก Timestamp และพร้อมส่งต่องานเข้า Step 2,Pass,,
Scenario 04: Step 2 บันทึก Design & CAD,TC-DES-01,AE / ADMIN,"1. เข้าเมนู 'Step 2: บันทึก Design'
2. เลือก Order ที่รับมาจาก Step 1
3. ทดสอบสลับ Card / Table view",สลับปุ่มมุมมอง,มุมมองแสดงผลเปลี่ยนรูปแบบตามที่เลือกอย่างถูกต้องและลื่นไหล,Pass,,
Scenario 04: Step 2 บันทึก Design & CAD,TC-DES-02,AE / ADMIN,"1. คลิกปุ่ม 'แนบแบบแปลน / อัปโหลดไฟล์'
2. เลือกประเภทแบบ กรอกสเปกงานช่าง แล้วบันทึก","ประเภท: แบบวงจรไฟฟ้า
สเปก: สายไฟ THW 2x4 ร้อยท่อ",แบบแปลนถูกบันทึก แสดงภาพ Thumbnail และมีปุ่มกดขยายดูรูปขนาดเต็ม,Pass,,
Scenario 04: Step 2 บันทึก Design & CAD,TC-DES-03,AE / ADMIN,1. คลิกปุ่ม 'อนุมัติแบบแปลน & ส่งต่อ BOQ',Order ที่แนบแบบแล้ว,สถานะ Step 2 อนุมัติสำเร็จ งานพร้อมเข้าสู่การจัดทำ BOQ ใน Step 3,Pass,,
Scenario 05: Step 3 จัดทำและอนุมัติ BOQ,TC-BOQ-01,AE / ADMIN,"1. เข้าเมนู 'Step 3: นำ BOQ เข้าระบบ'
2. เลือก Order แล้วคลิก 'แก้ไขรายการ BOQ'",Order จาก Step 2,เปิดหน้าต่างโมดอล BOQ Editor แสดงรายการวัสดุและค่าแรง,Pass,,
Scenario 05: Step 3 จัดทำและอนุมัติ BOQ,TC-BOQ-02,AE / ADMIN,"1. เพิ่มรายการวัสดุ (ชื่อ, จำนวน, ราคาต่อหน่วย)
2. เพิ่มรายการค่าแรง
3. ใส่ส่วนลด","วัสดุ: 28,000 บาท
ค่าแรง: 2,500 บาท
ส่วนลด: 500 บาท","ระบบคำนวณยอดรวม (Subtotal), หักส่วนลด และคำนวณยอดสุทธิ (Grand Total) อัตโนมัติ",Pass,,
Scenario 05: Step 3 จัดทำและอนุมัติ BOQ,TC-BOQ-03,AE / ADMIN,"1. คลิกปุ่ม 'บันทึก BOQ'
2. คลิกปุ่ม 'อนุมัติ BOQ & ส่งต่องาน'",ยอดเงินรวม,สถานะ BOQ ปรับเป็น APPROVED บันทึกเวลา และส่งงานเข้าสู่ Step 5,Pass,,
Scenario 06: Step 4 Ticket & ใบเสร็จ,TC-TCK-01,CC / ADMIN,"1. เข้าเมนู 'Step 4: บันทึก Ticket & ใบเสร็จ'
2. คลิก '+ สร้าง Ticket ใหม่'",-,เปิดหน้าต่างสร้าง Ticket ขึ้นมาพร้อมฟอร์มครบถ้วน,Pass,,
Scenario 06: Step 4 Ticket & ใบเสร็จ,TC-TCK-02,CC / ADMIN,"1. เลือก Order, ระบุยอดเงินเบิกจ่าย, อัปโหลดสลิป/ใบเสร็จ
2. กดบันทึก Ticket","ยอดเบิก: 1,250 บาท
เหตุผล: ซื้อเทปพันสายไฟและข้อต่อ",บันทึก Ticket สำเร็จ แสดงภาพพรีวิวสลิป และวันที่แสดงในรูปแบบ DD/MM/YYYY,Pass,,
Scenario 06: Step 4 Ticket & ใบเสร็จ,TC-TCK-03,CC / ADMIN,1. เปลี่ยนสถานะ Ticket จาก OPEN เป็น RESOLVED,-,สถานะเปลี่ยนเป็นสีเขียว Resolved และยอดสรุปค่าใช้จ่ายรวมในการ์ดอัปเดตถูกต้อง,Pass,,
Scenario 07: Step 5 แปลง BOQ เข้า Project,TC-CNV-01,AE / ADMIN,"1. เข้าเมนู 'Step 5: บันทึก BOQ เข้า Project'
2. เลือกโครงการที่ผ่านการอนุมัติ BOQ",Order ที่ผ่าน Step 3,แสดงรายการงานที่แยกตาม Labor/Material พร้อมปุ่มสร้าง Task,Pass,,
Scenario 07: Step 5 แปลง BOQ เข้า Project,TC-CNV-02,AE / ADMIN,"1. กำหนดช่างผู้รับผิดชอบ, วันเริ่มงาน และจำนวนวัน
2. คลิก 'แปลง BOQ เป็นแผนงาน Gantt'","ช่าง: Team A (สมศักดิ์)
ระยะเวลา: 3 วัน",ระบบสร้าง Tasks ส่งเข้าสู่ Gantt Chart สถานะโครงการปรับเป็น IN_PROGRESS (60%),Pass,,
Scenario 08: Gantt & บันทึกงานช่างประจำวัน,TC-DLOG-01,QC / TECH,"1. เข้าเมนู 'แผนงาน Gantt เต็มรูป'
2. คลิกปุ่ม 'บันทึกช่าง' ในแถวงาน หรือเข้าจากเมนู 'บันทึกงานช่างประจำวัน'",Task ของโครงการ,เปิดหน้าต่างบันทึกงานช่างประจำวันขึ้นมาได้ถูกต้อง,Pass,,
Scenario 08: Gantt & บันทึกงานช่างประจำวัน,TC-DLOG-02,QC / TECH,"1. ตรวจสอบตัวเลือกเวลาเริ่ม-เสร็จสิ้น
2. คลิกเลือกชม. นาที หรือกดปุ่มกะเวลาลัด (เช่น 08:30 - 17:00)",เวลา: 08:30 - 17:00 น.,แสดงระบบ 24 ชั่วโมงเท่านั้น (00:00-23:59) ห้ามมี AM/PM เด็ดขาด ระบบสรุปเวลารวมให้อัตโนมัติ,Pass,,
Scenario 08: Gantt & บันทึกงานช่างประจำวัน,TC-DLOG-03,QC / TECH,"1. ลาก Slider เปอร์เซ็นต์ หรือกดปุ่ม 35%, 70%, 100%
2. กรอกเนื้องานที่ทำและอุปสรรค","ความคืบหน้า: 70%
เนื้องาน: เดินท่อและติดตั้งคอยล์เย็น",ป้ายเปอร์เซ็นต์อัปเดตตามการเลื่อนทันที ข้อมูลช่องกรอกครบถ้วน วันที่แสดง DD/MM/YYYY,Pass,,
Scenario 08: Gantt & บันทึกงานช่างประจำวัน,TC-DLOG-04,QC / TECH,"1. ตรวจสอบแผง 5 ช่องรูป (Before, During 1, During 2, Testing, After)
2. กดปุ่ม 'โหลดรูปตัวอย่าง 5 รูป'",ปุ่ม Load Sample Photos,ช่องรูปทั้ง 5 แสดงรูปพรีวิวพร้อม Badge สถานะ และแสดงข้อความ 'แนบแล้ว 5 / 5 รูป',Pass,,
Scenario 08: Gantt & บันทึกงานช่างประจำวัน,TC-DLOG-05,QC / TECH,1. คลิกที่รูป Thumbnail เพื่อเปิดดูพรีวิว,คลิกที่รูปภาพ,เปิดหน้าต่าง Lightbox ขยายดูภาพใหญ่ คมชัด ระบุชื่อรูปและช่างผู้บันทึก พร้อมปุ่มปิด [X],Pass,,
Scenario 08: Gantt & บันทึกงานช่างประจำวัน,TC-DLOG-06,QC / TECH,"1. ปรับความคืบหน้า 100%
2. ติ๊ก 'ช่างบันทึกสำเร็จ' หรือคลิก 'ยืนยันสำเร็จ & ส่งตรวจ QC'",ความคืบหน้า 100%,บันทึก Log ลง DB ปรับ Task ใน Gantt เป็น DONE และปรับโครงการเป็น QC_PENDING (85%) อัตโนมัติ,Pass,,
Scenario 09: QC Inspection (ตรวจคุณภาพ),TC-QC-01,QC / ADMIN,"1. เข้าเมนู 'ตรวจคุณภาพ (QC)'
2. ตรวจสอบแท็บ 'คิวนัดตรวจ QC'",โครงการที่ส่งมาจาก Daily Log,ปรากฏโครงการในคิวรอตรวจ สถานะ QC_PENDING วันนัดหมายแสดงแบบ DD/MM/YYYY,Pass,,
Scenario 09: QC Inspection (ตรวจคุณภาพ),TC-QC-02,QC / ADMIN,"1. คลิก 'เริ่มตรวจรับงาน'
2. ติ๊ก Checklist มาตรฐาน 4 ข้อ (สะอาด, น้ำไม่รั่ว, ซิลิโคน, คู่มือ)",Checklist 4 ข้อ,เครื่องหมายถูกสีเขียวขึ้นครบทั้ง 4 ข้อ ระบบสรุปผลผ่านเกณฑ์,Pass,,
Scenario 09: QC Inspection (ตรวจคุณภาพ),TC-QC-03,QC / ADMIN,"1. แนบรูปตรวจงานและกรอกความเห็น
2. คลิก 'อนุมัติผ่านเกณฑ์ (Approve & Close Job)'",ผลการอนุมัติ,สถานะโครงการเปลี่ยนเป็น COMPLETED (100%) ตราประทับ QC APPROVED และส่งเข้าสู่ CSAT/MA,Pass,,
Scenario 09: QC Inspection (ตรวจคุณภาพ),TC-QC-04,QC / ADMIN,"1. (ทดสอบกรณีปฏิเสธ) ติ๊ก Checklist ไม่ครบ หรือเลือกผลเป็น 'ไม่ผ่านเกณฑ์'
2. ระบุเหตุผลแล้วส่ง",เหตุผล: ท่อมีรอยรั่วซึม,โครงการถูกส่งกลับเป็นสถานะ REWORK แจ้งเตือนให้ทีมช่างเข้าแก้ไขงาน,Pass,,
Scenario 10: บริการหลังการขาย & CSAT & MA,TC-CSAT-01,CC / ADMIN,"1. เข้าเมนู 'ความพึงพอใจลูกค้า (CSAT)'
2. เลือกงานที่เสร็จ 100% แล้วให้คะแนนดาว 1-5 และคอมเมนต์","ดาว: 5 ดาว
คอมเมนต์: ช่างทำงานเรียบร้อยมาก",บันทึก CSAT สำเร็จ การ์ดสถิติคำนวณคะแนนเฉลี่ย CSAT อัปเดตทันที,Pass,,
Scenario 10: บริการหลังการขาย & CSAT & MA,TC-MA-01,CC / ADMIN,"1. เข้าเมนู 'บริการหลังการขาย & สัญญา MA'
2. ดูรายการสัญญาและรอบบริการ",สัญญา MA,แสดงระยะเวลาสัญญา (DD/MM/YYYY ถึง DD/MM/YYYY) และจำนวนรอบบริการครบถ้วน,Pass,,
Scenario 10: บริการหลังการขาย & CSAT & MA,TC-MA-02,CC / ADMIN,"1. คลิก 'บันทึกตรวจรอบ MA'
2. เลือก Template 'Checklist ล้างแอร์มาตรฐาน' (8 ข้อ) แล้วบันทึก",รอบบริการที่ 1 / 3,บันทึกรอบบริการ Completed และคำนวณนับรอบถัดไปอย่างถูกต้อง,Pass,,
Scenario 11: มาตรฐานระบบส่วนรวม,TC-STD-01,ALL,"1. สังเกตวันที่ในทุกหน้าจอ (Dashboard, Step 1-5, Gantt, Daily Log, QC, CSAT, MA)",ทุกจุดแสดงวันที่,ต้องแสดงผลเป็น DD/MM/YYYY ทุกจุดอย่างเคร่งครัด (ห้ามพบ YYYY-MM-DD หรือ MM/DD/YYYY),Pass,,
Scenario 11: มาตรฐานระบบส่วนรวม,TC-STD-02,ALL,1. คลิกปุ่มสลับธีม พระอาทิตย์/พระจันทร์ ที่ Topbar มุมขวาบน,Toggle Theme,สลับเป็น Dark / Light Mode ได้ทันที สีตัวหนังสือ กราฟ และตารางคมชัด รีเฟรชแล้วยังจำค่าเดิม,Pass,,
Scenario 11: มาตรฐานระบบส่วนรวม,TC-STD-03,ADMIN,1. เข้าเมนู 'Inbound API Logs' ใน Sidebar,API Logs,แสดงประวัติการเรียก API ย้อนหลัง สถานะ HTTP 200 OK และมีปุ่มดู JSON Payload,Pass,,
